"ex# (Niches: 4NCase#. Object#
Tower cases: 4NCase#. Shelf#.Object#) ",accession#,object name,"h"" x w"" d""",mount,misc. info,,,
4N01. SCULPTURE * ALL OBJECTS REQUIRE PINS OR HOOKS. PINS KEEP OBJECTS FROM DRIFTING DUE TO VIBRATIONS.,,,,,,,,
4N01.1,2008.31,NY State Seal,72 x 10 in.,WALL MOUNT,MEZZ,,,
4N01.2,1927.59,Aaron Burr,13 1/4 x  6 1/4 x 7 1/4 in.,ANTI WALKERS (AW),PEDESTAL,,,
4N01.3,1929.87,Phrenology Rogers Group,20 x 9 1/2 x 8 11/16 in.,AW,PEDESTAL,,,
4N01.4,1932.111,General Sherman,14 3/4 x 12 x 9 1/2 in.,AW,PEDESTAL,,,
4N01.5,1946.345,George Washington,12 1/4 x 8 3/4 x 6 in.,AW,PEDESTAL,,,
4N01.6,1946.352,Abraham Lincoln,11 x 8 x 7 in.,AW,PEDESTAL,,,
4N01.7,1946.360,Black Hawk,12 1/4 x 7 x 8 1/2 in. ,AW,PEDESTAL,,,
4N01.8,1946.362,Osceola ,10 3/4 x 6 1/4 x 8 1/4 in.,AW,PEDESTAL,,,
4N01.9,1948.167,John James Audubon,8 x 5 1/2 x 4 1/2 in.,HOOK ON PINS,ANGLED PEDESTAL,,,
4N01.11,2002.1.348,Phrenology head,12 1/2 x 5 1/2 x 5 1/2 in.,AW,PEDESTAL,,,
4N01.12,1946.253,The Puritan,30 1/2 x 18 x 13 in.,AW,PEDESTAL,,,
4N01.13,1947.64,Bacchante,32 5/8 x 10 x 16 in.,AW,PEDESTAL,,,
4N01.14,1977.3,Diana,38 5/8 x 14 3/4 x 11 in.,AW,PEDESTAL,,,
4N01.15,2009.34,Harriet Tubman,22 1/4 x 24 x 13 1/2 in.,AW,PEDESTAL,,,
4N01.16,1832.3,Benjamin Franklin,28 x 19 1/4 x 12 in.,AW,PEDESTAL,,,
4N01.17,1937.1138,Chalkware bust of woman,13 1/2 x 7 x 4 1/4 in.,AW,PEDESTAL,,,
4N01.18,1953.8,Washington Irving ,35 x 26 3/4 x 16 1/2 in.,AW,RISER,,,
4N01.19,1984.111,Clarence Darrow,23 1/2 x 11 1/2 x 10 1/2 in.,AW,PEDESTAL,,,
4N01.20,1984.89,Malvina Hoffman,22 1/2 x 11 3/4 x 8 3/4 in.,AW,PEDESTAL,,,
4N01.21,1984.78,Catherine Cornell,17 1/4 x 9 x 8 1/2 in.,AW,PEDESTAL,,,
4N01.22,2003.89,Sunshine,19 1/2 x 18 1/2 x 9 in.,HOOK ON PINS,VERTICAL STAND,,,
4N01.23,1946.358,Death mask of Samuel Finley Breese Morse,11x 7 x 9 in.,AW,PEDESTAL,,,
4N01.24,1952.349,"J.Dodge, Jeremiah Dodge",27 1/2 x 18 1/8 x 12 1/4 in.,AW,RISER,,,
4N02. CRAFTSMAN PHYFE,,,,,,,,
4N02.1,INV. 14982,Dressing Table,65 1/4 x 47 x 22 in,NONE,"MEZZ, RISER",,,
4N02.2,L. 1927.1,Travel Chest with Tools,48 x 38 x 23 in.,NONE,NONE,,,
4N02.3,X. 479a,Duncan Phyfe Chair,32 1/2 x 19 x 19 1/2 in.,NONE,NONE,,,
4N02.4,L. 1927.1,Tool Chest with Drawers,11 3/4 x 36 x 9 3/4 in.,NONE,ACRYLIC PEDESTAL,,,
4N02.5,L.1927.1,Drawer from Tool Chest,2 1/4 x 11 5/8 x 9 1/4 in.,NONE,ANGLED PEDESTAL,,,
4N02.6,L.1927.1,Drawer from Tool Chest,2 1/4 x 11 5/8 x 9 1/4 in.,NONE,ANGLED PEDESTAL,,,
4N02.7,L.1927.1 #1,Plane,6 1/4 x 9 1/4 in.,PIN WALL MOUNT,NONE,,,
4N02.8,L.1927.1 #2,Plane,5 5/8 x 9 3/4 in.,,,,,
4N02.9,L1927.1 #35,Plane,7 x 9 5/8 in.,,,,,
4N02.10,L1927.1 #36,Plane,6 1/4 x 9 1/2 in.,,,,,
4N02.11,L1927.1 #39,Plane,6 x 9 1/2 in.,,,,,
4N02.12,L1927.1 #46,Plane,6 x 9 3/8 in.,,,,,
4N02.13,L1927.1 #47,Plane,7 1/8 x 9 9/16 in.,,,,,
4N02.14,L1927.1 #48,Plane,5 7/8 x 9 7/16 in.,,,,,
4N02.15,L1927.1 #49,Plane,6 x 9 3/8 in.,,,,,
4N02.16,L1927.1 #50,Plane,6 x 9 7/16 in.,,,,,
4N02.17,L1927.1 #54,Plane,5 5/8 x 9 1/2 in.,,,,,
4N02.18,L1927.1 #55,Plane,6 1/2 x 9 1/2 in.,,,,,
